Title(BHK),Price,location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type
3,15800000.0,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,"
3,7800000.0,bangalore,1000,10,10,Resale,Furnished,South -West,"Garden/Park, Pool, Main Road",3,2,2,Covered
2,9500000.0,bangalore,1330,24,30,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
4,26800000.0,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,6000000.0,jaipur,1450,4,6,New Property,Semi-Furnished,North,Main Road,3,3,1,Covered
4,26800000.0,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,6900000.0,chennai,1068,3,5,New Property,Unfurnished,North,Garden/Park,3,1,1,Covered
3,25000000.0,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open
4,26800000.0,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,23500000.0,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
4,43500000.0,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,"
3,10500000.0,gurgaon,1470,4,4,New Property,Semi-Furnished,North - East,Garden/Park,3,3,1,Covered
2,7800000.0,chennai,750,3,3,New Property,Unfurnished,North,Main Road,3,0,1,Covered
4,29000000.0,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,"
3,6800000.0,faridabad,800,1,4,New Property,Semi-Furnished,East,Main Road,2,2,1,Covered
3,5300000.0,greater-noida,761,12,24,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",2,4,1,Covered
2,3600000.0,chennai,630,1,19,New Property,Unfurnished,West,"Pool, Main Road",2,1,1,Covered
4,29000000.0,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open
2,2300000.0,new-delhi,495,1,4,New Property,Furnished,East,"Garden/Park, Main Road",2,1,1,Covered
