Title(BHK),location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type,Price
3,kolkata,2550,2,4,Resale,Semi-Furnished,East,Garden/Park,3,2,2,Covered,39500000.0
3,gurgaon,1799,11,20,Resale,Semi-Furnished,North - East,"Garden/Park, Pool",4,3,1,Covered,30926366.666666664
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,",29000000.0
2,chennai,800,2,3,New Property,Unfurnished,North,Main Road,2,1,1,Covered,5450000.0
4,ahmedabad,2623,7,13,New Property,Unfurnished,East,"Main Road, Garden/Park, Pool",4,1,2,Covered,11800000.0
3,chennai,1060,8,11,New Property,Semi-Furnished,North,"Garden/Park, Pool, Main Road",3,2,1,Covered,8717300.0
2,chennai,908,2,2,Resale,Semi-Furnished,South,Garden/Park,2,2,1,Covered,4500000.0
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,",29000000.0
2,thane,650,5,11,Resale,Semi-Furnished,East,Garden/Park,2,0,1,Open,8899300.0
2,jaipur,680,3,9,New Property,Semi-Furnished,East,"Garden/Park, Main Road",2,2,1,"Covered,",3051000.0
3,ghaziabad,1256,7,26,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",4,2,2,"Covered,",13796133.333333332
3,zirakpur,1200,3,4,New Property,Semi-Furnished,North - East,Garden/Park,3,2,1,"Covered,",7218050.0
2,new-delhi,850,1,4,Resale,Semi-Furnished,East,Main Road,2,2,2,Open,7500000.0
3,new-delhi,1600,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,1,"Covered,",22000000.0
4,new-delhi,2250,3,4,Resale,Semi-Furnished,North,Garden/Park,4,2,2,"Covered,",51237083.33333333
4,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
4,gurgaon,4583,9,30,New Property,Unfurnished,North - East,Garden/Park,5,4,2,Covered,89600000.00000001
4,gurgaon,1700,2,2,Resale,Semi-Furnished,East,"Garden/Park, Main Road",4,4,1,Open,28500000.0
2,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered,8630000.0
4,gurgaon,1800,6,14,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",4,2,1,"Covered,",20000000.0
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open,3000000.0
3,vadodara,1100,2,5,Resale,Furnished,North - East,"Garden/Park, Main Road",3,2,1,Covered,6404100.0
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
2,hyderabad,233,2,5,New Property,Unfurnished,West,Main Road,2,2,1,Covered,6809999.999999999
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,",17500000.0
2,kolkata,800,1,3,Resale,Unfurnished,South - East,"Garden/Park, Main Road",2,1,1,Covered,3798900.0
